ID,mean,cv,skewness,kurtosis,weekend_ratio,summer_peak,winter_peak,trend_slope,seasonal_strength_weekly,n_peaks,peak_height_ratio,zero_percentage,avg_zero_run,cluster
20631,24.09902191780822,0.6015860403446891,0.6673167097707351,-0.381784076740538,0.9577385954502902,0.4389613208972264,1.0,-0.0055496257616176,0.8065601870115029,19.0,3.166062102446493,0.0,0.0,0
20648,4.63568493150685,0.2736619125736456,1.5934742611479746,3.661046468626825,1.1509340469384877,0.9164246270261588,1.0,-0.005667774534022,0.4313088058222724,23.0,2.314436843427254,0.0,0.0,1
20682,17.51355890410959,0.7824694486366552,0.5821926422706921,0.0296026946414058,0.8744736907636946,0.2326612734584966,1.0,-0.024955001813816,0.7474611840396215,19.0,3.9501965522134,0.0,0.0,0
20718,15.975104109589042,0.783507102283157,0.1058890738474032,-1.3863317672419952,0.9728457804123922,0.1514414514859843,1.0,-0.0269773546911206,0.9705082764327986,11.0,2.5796389004603566,0.0,0.0,0
20746,17.724742465753426,0.3075135750182268,0.5173581823659991,-0.3473827360844903,1.044388001802256,0.9274911226246016,1.0,-0.011924555121501,0.6725487328450183,15.0,1.824793791080064,0.0,0.0,0
20754,10.229753424657536,0.7496024587494785,0.4110025333295263,-1.728309698268046,1.0090760098980651,0.346805550235412,1.0,-0.0438073964212298,0.9836215297063364,16.0,2.1585075498277915,0.0,0.0,0
20781,14.88481370410959,0.5585478597934268,0.3653509460843616,-1.039959981593596,0.9953221074442028,0.4007688103500231,1.0,-0.0227289243142664,0.9423337317435524,14.0,2.475140148366666,0.0,0.0,0
20801,5.428679452054794,0.3909900841359852,0.4916734529725477,0.0153603623478648,1.252451523655951,0.9449618858440118,1.0,-0.0006018555215276,0.3314806426672501,26.0,2.184877575615655,0.0,0.0,1
20824,7.393980821917808,0.6197057435262273,1.0512361940101758,-0.0100931073586627,0.9073021542617424,0.7438442577595704,1.0,0.0038433526724791,0.8323085669412105,12.0,2.995138956048293,0.0,0.0,0
20891,8.901383561643836,0.4419586195059508,1.5338287167809952,6.493170982774789,1.1034844839511857,0.8787996345677209,1.0,-0.003173224125975,0.6669895956166206,16.0,3.5079939858510523,0.0,0.0,0
20900,6.2016904109589035,0.3044420156158351,1.1365772840785098,2.740330198529289,1.2143044495476911,0.8192051027808509,1.0,0.0026801111980317,0.2939242790639945,22.0,2.562365894937174,0.0,0.0,1
20907,7.1045917808219174,0.5024562424641068,1.7770892935714866,4.131728879183683,0.9275683949424272,0.8804298357326864,1.0,-0.0036803276220747,0.7069098810436432,18.0,3.2376244419969953,0.0,0.0,0
20910,7.058646575342466,0.3100369700103978,0.691624554947209,1.2726895462468877,1.1866520699117726,0.8830136719656168,1.0,0.0058980593401657,0.3432281671699669,24.0,2.469878582801003,0.0,0.0,1
20946,0.8215013698630137,0.2738981100633791,1.911653979773041,4.071934932946065,0.9839889523076352,0.9191695859995052,1.0,0.0010290343835369,0.8071534422355598,10.0,2.247105199967984,0.0,0.0,0
20960,29.6441397260274,0.2162512168640664,0.3018072237817051,-0.3271059237640443,1.0157360784673846,1.156714851071268,1.0,0.0399733085239485,0.7600453145376356,13.0,1.8329423792417656,0.0,0.0,0
20962,10.150945205479452,0.242204532665422,0.4770966560714098,0.2232211801556687,1.0197534817347302,0.8847379826620894,1.0,0.0082722525621694,0.4998515010573675,18.0,1.948981065262834,0.0,0.0,1
21041,4.641610958904109,0.5728651542569195,1.8004027992858,4.203022577283208,1.4257326950062672,0.9078482044934044,1.0,0.0014332162784442,0.1858339682005658,22.0,3.514081672163893,0.0,0.0,1
21049,8.376060273972604,0.3575287165647353,0.4622222426621797,0.2254639219959822,1.1427128376018718,0.7712011353752962,1.0,0.0005250898887772,0.4046211947582834,24.0,2.2061684605375658,0.0,0.0,1
21086,3.2503506849315063,0.5926533949429753,1.1512181766214158,1.6376934193349548,1.1980758501336677,0.818715138158302,1.0,-0.0048502861387433,0.2292798178646926,21.0,3.6891403920167103,0.0,0.0,1
21113,2.647931506849315,0.325912262949214,0.1741250477168197,1.163707529970334,1.1002556331290947,1.027008083702558,1.0,0.0003557283273654,0.3775763179233662,22.0,2.068784628994459,1.36986301369863,2.5,1
21125,5.2181205479452055,0.4862358499640501,0.845114228247763,0.2404352102324991,0.9495801437822124,0.9650113809077718,1.0,-0.0127155905513754,0.4127645241891011,20.0,2.4515531756040856,0.0,0.0,1
21143,0.0,0.0,0.8482188929301956,0.9067045702001856,1.0,1.0,1.0,0.0,0.4600781152581156,0.0,0.0,100.0,365.0,4
21162,7.678616438356166,0.2831392253792957,0.9977250232057258,1.9687930795088144,1.162814023611226,0.8754474865372334,1.0,0.0007600321304565,0.2133089551229771,22.0,2.25379144002469,0.0,0.0,1
21175,16.376838356164384,0.6880020598810611,0.8241474050690466,-0.598414233653366,0.9999336960002084,0.3839859782046221,1.0,-0.0202897542834439,0.9634442113200964,10.0,2.7178017534285805,0.0,0.0,0
21201,14.237567123287672,0.9121309674204218,0.350666014060474,-1.2806744273602817,1.2523333561210583,0.1304712102191299,1.0,-0.0275220863573883,0.9129153552274694,17.0,3.4085879687002087,0.0,0.0,0
21253,3.047235616438356,0.2567500691903048,0.8694257535759662,0.731231850282696,0.7329831567216984,0.9341537332076774,1.0,-0.0011653311880125,0.4796651752155232,31.0,2.0507111318500217,0.0,0.0,1
